メーカー/ブランド,商品名,ASIN,想定仕入れ金額(上限),Amazon価格,実セラー数,想定月販,消化月数,カテゴリ,FBAサイズ,Amazonページ,Keepaリンク,メーカー検索(Google),ブランド,manufacturer,セラー名一覧,メーカー直販フラグ,赤字ライン(これ以上は赤字),仕入れ掛け率上限%,上限で仕入れた時の純利益,目標純利益率%,基準売価,基準売価の根拠,販売手数料率%,手数料内訳,新品最安値(送料込),過去最安値(2026-02-23以降),価格定義混在,月間ドロップ数,月間販売数,ランク,新品オファー数,規模フラグ,リスク区分,preset,価格帯,取得日時,判定,見送り理由
HEIBAS,ヘッドセット bluetooth Bluetooth 6.0搭載 安定接続 98時間連続再生 片耳イヤホン bluetooth,B0GFCPDT7B,769,1894,3,12.5,0.8,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0GFCPDT7B,https://keepa.com/#!product/5-B0GFCPDT7B,https://www.google.com/search?q=HEIBAS%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,HEIBAS,HEIBAS,Yanhong JP / Cunmai JP / LiLun Tech,,1148,40.6,379,20,1894,過去最安値(2026-02-23以降),9.0,基準売価1894 − 販売手数料170(9.0%) − FBA配送290 − 保管3[0.42L×9170円/m³×0.8ヶ月] − 外注182 − 雑費100 − 目標利益378(20%),1894,1894,はい,50,1000,1394,3,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
htrahy,スマートウォッチ【2026 新バージョン】iPhone対応 アンドロイド対応 Bluetooth通話機能付き 1.83インチ大画面 SMS/Lineメッセージ通知 htrahy 活,B0G81S768X,843,1999,4,9.8,1.02,家電＆カメラ > ウェアラブルデバイス > スマートウォッチ,標準(小型),https://www.amazon.co.jp/dp/B0G81S768X,https://keepa.com/#!product/5-B0G81S768X,https://www.google.com/search?q=htrahy%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,htrahy,htrahy,TongshQ-JP / TWDWL-JP / Cedlnan-JP / Zbbdwsp-JP,,1243,42.2,400,20,1999,過去最安値(2026-02-23以降),9.0,基準売価1999 − 販売手数料179(9.0%) − FBA配送290 − 保管4[0.44L×9170円/m³×1.0ヶ月] − 外注182 − 雑費100 − 目標利益399(20%),1999,1999,いいえ,49,3000,394,4,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
パナソニック(Panasonic),【2セット：計4個入】 パナソニック Panasonic カメラ用リチウム電池 CR-123AW/2P （2個入） カメラ スマートロック 電池 交換,B0GFV9FFRS,712,1810,4,9.8,1.02,家電＆カメラ > 電池 > 乾電池,標準(小型),https://www.amazon.co.jp/dp/B0GFV9FFRS,https://keepa.com/#!product/5-B0GFV9FFRS,https://www.google.com/search?q=%E3%83%91%E3%83%8A%E3%82%BD%E3%83%8B%E3%83%83%E3%82%AF%28Panasonic%29%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,パナソニック(Panasonic),パナソニック(Panasonic),グローバルプラザ -インボイス発行事業者- / 【13時までは当日発送！】株式会社エクスプレスマーケット / オンラインショップkiki / Webゆとり,,1074,39.3,362,20,1810,過去最安値(2026-02-23以降),9.0,基準売価1810 − 販売手数料162(9.0%) − FBA配送290 − 保管1[0.15L×9170円/m³×1.0ヶ月] − 外注182 − 雑費100 − 目標利益362(20%),1810,1810,はい,49,500,887,5,大手/海外疑い,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
CHUSII,モバイルバッテリー MagSafe対応 10000mAh ワイヤレス充電 22.5W急速充電 USB-C内蔵ケーブル 小型 軽量 薄型 最大3台同時充電 PD対応 LED残量表示 ,B0FYG2NDBR,535,1563,3,12.0,0.83,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0FYG2NDBR,https://keepa.com/#!product/5-B0FYG2NDBR,https://www.google.com/search?q=CHUSII%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,CHUSII,"Shenzhen Joway Power Supply Co., Ltd.",JunqianStore / 惠州市博莱博科技有限公司 / Camer Tech,,848,34.3,313,20,1563,過去最安値(2026-02-23以降),9.0,基準売価1563 − 販売手数料140(9.0%) − FBA配送290 − 保管2[0.29L×9170円/m³×0.8ヶ月] − 外注182 − 雑費100 − 目標利益312(20%),1563,1563,はい,48,400,3747,3,中小候補,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
THREEKEY,THREEKEY マグセーフ充電器 Qi2・PSE公式認証 15W急速充電 両面マグネット式,B0DLSMH23R,761,1899,2,16.0,0.62,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0DLSMH23R,https://keepa.com/#!product/5-B0DLSMH23R,https://www.google.com/search?q=THREEKEY%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,THREEKEY,"Shenzhen Suiqi Innovation Technology Co.,Ltd.",Threekey-Office / Threekey Direct,メーカー直販,1137,40.5,376,20,1880,過去最安値(2026-02-23以降),9.0,基準売価1880 − 販売手数料169(9.0%) − FBA配送290 − 保管1[0.26L×9170円/m³×0.6ヶ月] − 外注182 − 雑費100 − 目標利益376(20%),1899,1880,はい,48,1000,1800,2,中小候補,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
Leacco,双眼鏡 ライブ用 高倍率 15倍 オペラグラス 【業界先端BAK4光学レンズ&FMC多層コーティング】防振双眼鏡 超軽量134g コンパクト,B0G2Y2SPVH,842,1999,2,16.0,0.62,家電＆カメラ > カメラ > 双眼鏡・望遠鏡・光学機器,標準(小型),https://www.amazon.co.jp/dp/B0G2Y2SPVH,https://keepa.com/#!product/5-B0G2Y2SPVH,https://www.google.com/search?q=Leacco%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Leacco,Leacco,WL-JPSTORE / grunwangnongyefazhanyoufdfdg,,1242,42.1,400,20,1999,過去最安値(2026-02-23以降),9.0,基準売価1999 − 販売手数料179(9.0%) − FBA配送290 − 保管5[0.93L×9170円/m³×0.6ヶ月] − 外注182 − 雑費100 − 目標利益399(20%),1999,1999,はい,48,3000,186,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
ZZU,イヤホン bluetooth ワイヤレスイヤホン 48時間の再生時間 重低音 LEDディスプレイ表示 小型/軽量 IPX7防水 ブルートゥース 接続瞬時 Hi-Fi ブルートゥース,B0DP41614X,832,1981,3,11.75,0.85,家電＆カメラ > イヤホン・ヘッドホン > イヤホン・ヘッドホン本体,標準(小型),https://www.amazon.co.jp/dp/B0DP41614X,https://keepa.com/#!product/5-B0DP41614X,https://www.google.com/search?q=ZZU%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,ZZU,ZZU,Huanyeltd / QianjuShop / HENG TONG,,1228,42.0,396,20,1981,過去最安値(2026-02-23以降),9.0,基準売価1981 − 販売手数料178(9.0%) − FBA配送290 − 保管2[0.24L×9170円/m³×0.9ヶ月] − 外注182 − 雑費100 − 目標利益396(20%),1981,1981,はい,47,600,1677,3,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
Vulendu,65W PD 急速充電器 type-c 【3台同時に急速充電・小型超軽量・PSE認証済】 usb コンセント usb c 充電器 3ポート 折りたたみ式プラグ 携帯 に便利 GaN,B0G2JYGKGJ,503,1516,2,15.0,0.67,家電＆カメラ > 携帯電話・スマートフォン > 携帯電話・スマートフォンアクセサリ,標準(小型),https://www.amazon.co.jp/dp/B0G2JYGKGJ,https://keepa.com/#!product/5-B0G2JYGKGJ,https://www.google.com/search?q=Vulendu%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,Vulendu,Vulendu,Vulendu-【メーカー直営店】 / Xs【メーカー直営店】,メーカー直販,806,33.2,303,20,1516,過去最安値(2026-02-23以降),9.0,基準売価1516 − 販売手数料136(9.0%) − FBA配送290 − 保管1[0.20L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益303(20%),1516,1516,はい,45,3000,483,3,中小候補,リチウム/電源系(PSE・FBA危険物),A,1500-1999円,2026-08-24 12:54,候補,
KIOXIA,USBフラッシュメモリ 64GB USB 3.2 Gen 1 KIOXIA TransMemory U366 薄型 スタイリッシュ メタリックボディ [並行輸入品],B0BSN6H7HY,329,1830,2,15.0,0.67,パソコン・周辺機器 > 外付けドライブ・ストレージ > USBメモリ・フラッシュドライブ,標準(小型),https://www.amazon.co.jp/dp/B0BSN6H7HY,https://keepa.com/#!product/5-B0BSN6H7HY,https://www.google.com/search?q=KIOXIA%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,KIOXIA,KIOXIA,jnhショップ（適格請求書発行事業者） / YYKストア,,583,26.0,254,20,1270,過去最安値(2026-02-23以降),9.0,基準売価1270 − 販売手数料114(9.0%) − FBA配送290 − 保管0[0.07L×9170円/m³×0.7ヶ月] − 外注182 − 雑費100 − 目標利益254(20%),1830,1270,はい,45,300,2111,2,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
AirDry,双眼鏡 ライブ用 20倍 オペラグラス 【超軽量·お子様や女性に最適】スポーツ観戦用 双眼鏡 コンサート 防振 軽量 小型 防水 倍率調整可能 ライブ/オペラ/観劇/スポーツ観戦/,B0FYY4VHTW,772,1898,3,11.25,0.89,家電＆カメラ > カメラ > 双眼鏡・望遠鏡・光学機器,標準(小型),https://www.amazon.co.jp/dp/B0FYY4VHTW,https://keepa.com/#!product/5-B0FYY4VHTW,https://www.google.com/search?q=AirDry%20%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81%20%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B%20%E5%8D%B8,AirDry,AirDry,TWOA STORE / AirDry Online Store / Credin-jp,メーカー直販,1152,40.7,380,20,1898,過去最安値(2026-02-23以降),9.0,基準売価1898 − 販売手数料170(9.0%) − FBA配送290 − 保管3[0.40L×9170円/m³×0.9ヶ月] − 外注182 − 雑費100 − 目標利益379(20%),1898,1898,はい,45,3000,325,4,中小候補,電気製品(PSE要確認),A,1500-1999円,2026-08-24 12:54,候補,
